,Unnamed: 0,text,sentiment
44,44,love im avail pm dear would love help convert lid,positive
45,45,girl hair salon ask shall trim eyebrow old feel,neutral
46,46,eh bah boooooooooooo not know want go work hanov suckkkkkk drunk mess,negative
47,47,visit friendster facebook,neutral
48,48,doubt like feel pawn also dont like go shop run money crawl round car look more,negative
49,49,case got new one last week im not thrill mine,negative
50,50,check httptwittersuckscom connect templ hate twitter,neutral
51,51,also bore school third freelesson freistund,neutral
52,52,hm us guess,neutral
53,53,bad bad bad badu disappoint past day,negative
54,54,romanc zero funni,positive
55,55,id rather earli runbut morn runner,neutral
56,56,bah worker ran work late bag smack knee realli hurt now,negative
57,57,back later httppluckcomprpk,neutral
58,58,torn ace heart hunchback,negative
59,59,fun speak of,neutral
60,60,lost friend im alon sleepyi want go home,negative
61,61,hata yes,neutral
62,62,give easili,negative
63,63,better way spoil sum let kick back relax nice meal bottl favorit wine wine red,positive
64,64,manner got phone jealous httpbitlynear,negative
65,65,photoshoot,neutral
66,66,hes awesom work hes good friend,positive
67,67,may play show tonight donna foggi im work right play,neutral
68,68,chilblain,positive
69,69,know agent let know,neutral
70,70,still smell smoke kitchenfir,neutral
71,71,celticlay reach sound better dont think ll,positive
72,72,anyon extra dean ticket promis buy drink take pick ff blow flick etc,neutral
73,73,ride one catch one not summer til pop open one,neutral
74,74,good forjug yea no ask yesterday hospit talk u said no,neutral
75,75,ok im pop say hi check thing ill probabl head gutta later tonight,neutral
76,76,realli mission amil today ad,negative
77,77,sourc say no,neutral
78,78,soon tire,negative
79,79,hey chang twitter account didnt even tell me,neutral
80,80,thank yyyyyyyyyoooooooooouuuuu,positive
81,81,lucki kidi want see loservill piti oz,positive
82,82,fell asleep wait ride,neutral
83,83,sick fli like thing,negative
84,84,still no repli simfing problem no grape parti video get respons sorri gun,negative
85,85,happi star war day everyon enjoy holiday up,positive
86,86,mile im essex give plenti warn arriv time get least one free bee,neutral
87,87,snore annoy n keep sleep like right honest mud miss eva left love him,neutral
88,88,miss wish go tomorrow make good,negative
89,89,well work isnt quit readi post public still beta test cool new script code,positive
90,90,sweetest san ran awesom love there,positive
91,91,ounc yes last way past bedtim,neutral
92,92,hi adjust join twitter bad,neutral
93,93,wait sleep pill kick donna tire work tomorrow,negative
94,94,eat ice cream get readi granul,neutral
95,95,happi mother day sum there,positive
96,96,casess gone middl littl carpet shes polli creak caus new get back,negative
97,97,hemp cloth marvel unfortun no,negative
98,98,donna read stori bout adam lembert onlin bed night night,neutral
99,99,saw none saddl best,positive
100,100,beach pretti,positive
101,101,certain not cheer hut,neutral
102,102,week post myhorr traumat jump collar accidentcollar next dirti trickpiec start emerg hand such,negative
103,103,realli want go caus nice everybodi busi,negative
104,104,awesom im ocean beach know way yourbiggestfan im real big fan youi,positive
105,105,least get watch time let go pen,neutral
106,106,cool wear black time go out,neutral
107,107,hata not know work lip apart obvious thank reblip song nice day bad bad bad bad,positive
108,108,safe trip john tooyoul knock dead speech,positive
109,109,woof wish allow go,positive
110,110,u friendster add email dress add lococrimestcom add leav comment,neutral
111,111,ticket,neutral
112,112,thank nasal spray also got giant teach tonight,positive
113,113,unfathom think one one kept comfort bedroom yes,neutral
114,114,www love daddi work day week almost day still tri go us,positive
115,115,mani test today dont feel confid ani,negative
116,116,granul done littl sad anyon want hang out,negative
117,117,havana awesome,positive
118,118,holi smoke star tree break awesomeeee,positive
119,119,hate ballot keep make jump im also low health money also food dont worri ill get it,neutral
120,120,tune lost song,neutral
121,121,what gloomi weather sun must tire come play head victoria garden impuls busi hata,neutral
122,122,not look forward next week bath geographi english french exam total hour,negative
123,123,poor get outsid sleep garden sun good dont forget scream,negative
124,124,not well,negative
125,125,not probe run,positive
126,126,day watch mt go simon minut,neutral
127,127,absolut,neutral
128,128,what matter chickade,neutral
129,129,hey total ador music out,positive
130,130,shop clean webcam chat nephew noth speak good bank holiday monday nonetheless,positive
131,131,need ask someth may love too,positive
132,132,splinter look painfulbut heroic save mr sickl,negative
133,133,sad,negative
134,134,nice see meet sunday may celebr mother day today nice yer mon,positive
135,135,decid tran relax natur hair wish whole head look like root age instant gratif,positive
136,136,namaskar namast r martha peopl say namaskar martha word naaaah,neutral
137,137,congress fuss like matter minut didnt know reward it,neutral
138,138,humour porto oh yes,neutral
139,139,miss awesom weather movi,negative
140,140,today go normal day hope group pilot larg airlin come last night much drink,neutral
141,141,kiss terribl good evan id call childlik,negative
142,142,unfortun aerlingus no longer fli copenhagen fli ryanair billon drive copenhagen one day,negative
143,143,what sad actual goos term suck the,negative
144,144,hate fight,negative
145,145,watch want win put good fightll,neutral
146,146,carwarm spite tast like sore throat,negative
147,147,came cross countri beat dumb,neutral
148,148,candl wax enjoy,positive
149,149,shes assum unpretenti shes suppos that shes enteringbecaus relat her,positive
150,150,tomorrow malaria lunch go get hair done arriv late got cousin baptism whatev spell it,neutral
151,151,goooooddd morn sweet week three lookout mention got new glass yesterday,positive
152,152,hate comput much,negative
153,153,fine go big walk today mile,positive
154,154,want red cruiser dont like one lafa,negative
155,155,mmmmmmmm morn,neutral
156,156,neither,neutral
157,157,hour work sunday find time two hour lunchbreak though yeah,neutral
158,158,bigger forgot still wash machin,negative
159,159,lauri send love bless heal thought famili peac,positive
160,160,back hurtsreal bad,negative
161,161,ah yes know feel,neutral
162,162,night cooker dad,neutral
163,163,mode offic week god bless g network tim left may schedul brutal,negative
164,164,hope coquitlam,neutral
165,165,parent teacher thing yesterday bore go sky saturday ll,negative
166,166,litchfield tweetup sound like fun hope see everyon els there,positive
167,167,big boom thunder storm almost mayb go home earli ah probabl not,neutral
168,168,navvi day twogreat day off,positive
169,169,first night eye not wout lydia im actual excit summer,positive
170,170,good morn,positive
171,171,best show ever,positive
172,172,curl previous post time job httpbitlyafdb id remov space miss curl es,negative
173,173,think iv hurt tooth english case draw competit draw coloni pineappl hata l,neutral
174,174,want know addit manner text orrepli pleas,neutral
175,175,even nooooo not secret namerebecca pleas,negative
176,176,miss nice cant wait see bad n grown bad bad bad bad ll,negative
177,177,need get comput fix,neutral
178,178,realli hope car ill not termin,negative
179,179,cool peopl want find follow today english guess english dont sweet,neutral
180,180,no siri would put honeybut dont ani,neutral
181,181,watch xmen origin wolverin total love hata,positive
182,182,vote u person space keep talk face u help thou hardest time life x,positive
183,183,im sad miss gun last night,negative
184,184,final got call marriag counsel day late,neutral
185,185,ok then,neutral
186,186,babi,neutral
187,187,today last day high school end go home sick stupid dead rat,negative
188,188,impromptu pool parti except dont know swim cant get in,neutral
189,189,lost tooth day whilst eat gumown,negative
190,190,happi year,positive
191,191,oh hell forgot say offici good morn like hear go goooooooooooood morrrrrrrrn twittervill ll,positive
192,192,badphew bad make note case anyon els run issu,neutral
193,193,vote everi day you,negative
194,194,im starv diet kill cant eat pm,negative
195,195,talk you,neutral
196,196,boredin deaf miss music channel,negative
197,197,note note day girl fun concert,positive
198,198,nicotin replac patch hour far good sleep hour get bit twitch now,neutral
199,199,anderson what twitter late either cant get repli dont turn up,neutral
200,200,sleep lost voic coupl day ago,negative
201,201,httptwitpiccomxlm hate mark car get hit,negative
202,202,ive heard fall im wait too,neutral
203,203,nightmar badhuggl bad,neutral
204,204,deeper feel disappoint bad bad bad bad cyberstalk skill internet no privaci,negative
205,205,go bed late headach,negative
206,206,happi mother day moss there,positive
207,207,graft coffe make mon breakfast,neutral
208,208,think go fun tonightand mayb chang come,positive
209,209,thank major chop,neutral
210,210,hata know handl fame thank you,positive
211,211,got updat upon,neutral
212,212,yes sober havana tanghal due hata wild dont knowwww plan plan go us,positive
213,213,never miss earli son huge crush veranda,positive
214,214,saw jame carvill store today head realli bald,neutral
215,215,yellow httplipamzg,neutral
216,216,mean your go come back vancouv way ahahah,neutral
217,217,feel smooth like come,positive
218,218,traffic,negative
219,219,download song tri speak homework main prioriti not song ll,neutral
220,220,rara not alonei need coffe too,neutral
221,221,sound like me,neutral
222,222,bad day day realiz mess youv put one happiest day life,neutral
223,223,walk class hate not bikeespeci mine,negative
224,224,nesmith,neutral
225,225,fail inspect know pass wooven not woantitip bracket sold woven wors tax,negative
226,226,jone brother live parti rock hard love song,positive
227,227,happi mother day mother world,positive
228,228,min min goos wave domo look lot fun would love test though httpbitlywnmsc,positive
229,229,sleepi take head bed fun night listen next episod lossd,positive
230,230,except short due larynx finest tate sum,neutral
231,231,screw review thought wolverin awesom not enough dominion jonathan like,positive
232,232,follow us recent pleas dont offend havent follow back hit limit hope free soon,positive
233,233,yes work to,neutral
234,234,mmm mayb that meant delud someth brand new know media is,neutral
235,235,done sea meet vice late lunch,neutral
236,236,happi monday go tavern today hope everyon bless day,positive
237,237,alway want go oz,neutral
238,238,the,neutral
239,239,httptwitpiccomjazz cool lui it,positive
240,240,that need thereto repres blackberri,positive
241,241,okay im indic th sweet fact im go appl store huge crack glass screen,neutral
242,242,could ever actual allow stay that,neutral
243,243,let know turn out,neutral
244,244,pass detect long isnt back pass hata,neutral
245,245,yeah think ahahah,positive
246,246,sport bar shatranjanpoli rest oh sport bar adher w dont know whether help goos jaw ho,neutral
247,247,im not sleep accept apolog,negative
248,248,wolverin boss serious william bad bad bad bad,negative
249,249,live pain bring on,neutral
250,250,okay im back later,neutral
251,251,powerblog powerblog challeng keep talk im newbi follow,neutral
252,252,almost die lawton screen set bright instal window vista got headach insanedefault,positive
253,253,wait wish get got drive moss cri pick duke first time,neutral
254,254,tri decid movi friend not go well p no bibl studi unit mean bad bad bad badday cake buy own,negative
255,255,go shower dont want smell school tomorrow,neutral
256,256,sigh know am,neutral
257,257,discov caus bug new netplay build publish bug fix hope new beta tomorrow,positive
258,258,free twitter tool get follow httpshorttoq httpaircomhul httpshorttor httpveorgpg,neutral
259,259,got home work hug big bottl appl juic,neutral
260,260,yes pleas dont go die cri normal lead small anim get harm,negative
261,261,write report card soon tire amaz day check ff soon,positive
262,262,big brotherand im done now,neutral
263,263,good news final finish easact lookout paus hour bad news resist band torn,neutral
264,264,well good morn wonder day neighborhood thank follow anoth morn,positive
265,265,merci preced amaz tonight alway,positive
266,266,hope ok,positive
267,267,cant school done alreadi hurt much see everi day,positive
268,268,wait listen wind blow tumblewe none old enough know someon say crackerack,neutral
269,269,hell yeah,neutral
270,270,shirt dinner need ask actual vill it,neutral
271,271,know,neutral
272,272,hut bad bad bad bad smell noon love flex dixon,neutral
273,273,went parti last night dandin show watch outfit great mind think alik anyway happi birthday ate lata,positive
274,274,happi bday woke side earth wish bit late,positive
275,275,thank teach valu better person day love much your best sum world,positive
276,276,happi mother day,positive
277,277,badlaugh bad im glad self confid wonder trait ill applaud extra loud okay,positive
278,278,thank,positive
279,279,glitter day,neutral
280,280,get readi week nice today stuck insid work,positive
281,281,tres depress,negative
282,282,felt like bad bad bad bad behav like son ate compens rig homeroast sugar almond pain tm threw still feel sick,negative
283,283,happi mother day peopl love mon lot still,positive
284,284,im sorri hear that,negative
285,285,that awesom due may surpris cerebr got meet year ago soon friend,positive
286,286,make happi hear girl talk sweet na could give suggest love,positive
287,287,get hang twitter,neutral
288,288,know neck pack forc pay park bc cant turn head parallel park free space,negative
289,289,want back httpbitlyppwz,neutral
290,290,go miss roomier no longer roomier start tomorrow,negative
291,291,bath two littl angel key nice,neutral
292,292,yep finish check full spell grammat error im clean tomorrow pop here,negative
293,293,ahahah true alway rememb never rememb date even day is,neutral
294,294,famili herehang them,neutral
295,295,watch ellen love dish fan gorgeous out,positive
296,296,what go run im worri you,negative
297,297,not banish work till,negative
298,298,morn get see ill let know right im go go see wolverin,neutral
299,299,red top tabloid build em knock em down,neutral
300,300,tonight parti w girl minus vital,positive
301,301,not made sad thought youd jump joy,neutral
302,302,simpl a,neutral
303,303,pick unload babi pick cat missi adult pretti littl kitti fatti kitten heaven now,neutral
304,304,saw play amaz,positive
305,305,glad break twitter virginia two,positive
306,306,dinner miss them,negative
307,307,live that want better bound bad egg though soon learn,neutral
308,308,hell yeah kellynn got twitter final,neutral
309,309,know worth shot though,positive
310,310,open facebook account im littl confus dont realli get twitter seem much better,positive
311,311,ship im stuck,negative
312,312,sustain babi cannot wait x,positive
313,313,not go dwell happen pass shame suppur life x,negative
314,314,nan,neutral
315,315,look like offic get mob network look like man not televis metbal game today winter,neutral
316,316,home empti hand no comic found today shall indulg cupcak magnolia baker,neutral
317,317,lay bed til work oh life definit pinch nerv,negative
318,318,today busi day exhaust,negative
319,319,go go sunday ive got much go weekend,neutral
320,320,sorri hear flight got cancel blow,negative
321,321,oh tooth hurt oh sad hurt,negative
322,322,get distract id like thank new follow take troubl follow other feel love,positive
323,323,u think u bill haii finish pay mine that im broke,negative
324,324,not sure didnt say big saw pick u last day look pretti miss you,neutral
325,325,sore throat plan met outing maxwel thoughgood time,neutral
326,326,fli gig last night org amaz sit whole thing fli see best mate titus,positive
327,327,day without sleep migrat thought life postr meant relax,negative
328,328,there,neutral
329,329,suck,negative
330,330,sway sway winner announc,neutral
331,331,k check out,neutral
332,332,pretti well wide awak,positive
333,333,want wake earli get coffe tomorrow today go busi day keep write book who,neutral
334,334,miss daddi mummi,negative
335,335,dog offici depress brother dog gone doesnt want go outsid play halfheartili,negative
336,336,realiz cant forward text leg phone,neutral
337,337,first post find new car parent excit,positive
338,338,arch not miss tiller loss suck miss brandon total failur anyon know repeat must investig,negative
339,339,serious bore without anyon talk not tire enough sleep,negative
340,340,lost pleas help find good home,negative
341,341,peter gordon morn go piec want hide go piec almost die ever httplipamyk,neutral
342,342,ok ive got bit bad back lift drum hardwar car owner,negative
343,343,may one threw off,neutral
344,344,oh nice go,positive
345,345,get readi work work weekend,neutral
346,346,donna celebr mother day famili donna start part tone,positive
347,347,agre you,positive
348,348,comput hopeless everyth els,negative
349,349,degre gross sky thunderstormsperfect match mood ll,positive
350,350,www thank,positive
351,351,sorri me,negative
352,352,saw amaz heel big,neutral
353,353,stuck finger throat bunch bump tongu throat,negative
354,354,sang last curl went httplipamaim,negative
355,355,ooh miss sweet donna stay awak night see announc bad bad bad bad time differ,negative
356,356,admit suck one one thought id drag back ll,negative
357,357,boss shes move ny,neutral
358,358,soon crazi fever,negative
359,359,spend saturday morn take note research essay stupid bad bad bad bad recal book im use not fair,negative
360,360,think need new friend,neutral
361,361,look forward gig ireland see there,neutral
362,362,pleas review sunehr ad placement httptinyurlcomoowmk,positive
363,363,www loooov me,positive
364,364,hungri twitter want food,neutral
365,365,awesom lucki you,positive
366,366,yea know tell everyth send direct messag tell hata,neutral
367,367,hata jewish love one,positive
368,368,great time beer garden wit boy think sun got bit though feel bit ill,neutral
369,369,lm day matt no fun weekend,negative
370,370,u realli dont think mayb rightll bow phone u use think u told byi might pp u,neutral
371,371,feel pain mine way,negative
372,372,come home two day,neutral
373,373,sad no didnt come one,negative
374,374,wait see boy tomorrow,positive
375,375,no check dentist pp next week though get solar pulledroot canal,neutral
376,376,www miss drive elmwood,negative
377,377,org want ago bad bad bad bad love babi take me,positive
378,378,version live interact transsiberia ticket planner launch httptinyurlcomcljwm cool,positive
379,379,realli wish could go,positive
380,380,yeah real hard know youll get smile,neutral
381,381,im decemb that not good next big birthday fli sure,negative
382,382,made night way funni,positive
383,383,cap happi mother day,positive
384,384,make face get home mon watch soap,neutral
385,385,go work now,neutral
386,386,cant believ went got bob without me,neutral
387,387,today,neutral
388,388,thank warm welcom didnt make plan arriv time air,positive
389,389,day count,neutral
390,390,sorri friend im swamp deadlin right famili visit boot no comrad me,negative
391,391,brainfreez,neutral
392,392,discov shortcom graviti use twitpic integr doesnt subtract pick curl charact limit,neutral
393,393,sunburnt peel,negative
394,394,perri purpl nail polish isnt perri whip,neutral
395,395,httptwitpiccomsx put camera smoker pit no longer vandalia door without caught,neutral
396,396,lay alon sinc took come fn play pen thought ill first dont no one muddl with,negative
397,397,hate dentist,negative
398,398,noth aim join insorri,negative
399,399,im take twitter break cell die,negative
400,400,good morn,neutral
401,401,write english origin write storyyyyi listen littl respect measur aaaaaah,neutral
402,402,need follow,neutral
403,403,wish could get nail done stupid job,negative
404,404,littl worri labyrinth sad pass away today ok still around happi ghost form www httptwitpiccomaim,neutral
405,405,no part idea could new attempt worldwid attract busi back airlin,neutral
406,406,good one,positive
407,407,yep intact popular miss india talent film actress lot more,positive
408,408,doesnt want go work tomorrow,negative
409,409,daniel voic great,positive
410,410,wish birthday massacr would come australia think said theyr think httptinyurlcomplfch,neutral
411,411,hope go red lobster weekend,neutral
412,412,xatl u mean jack barakat u ever gone hous mean lucki address,positive
413,413,sure hope becom afternoon,positive
414,414,mean famous congress,positive
415,415,phone pass away yesterday jump tabl search new phone,negative
416,416,fantast friend includ sever one met thank life amaz peopl,positive
417,417,hamlin wish cool sock draw,positive
418,418,no rice crusti bread child www,neutral
419,419,like mind even dear,neutral
420,420,come save pack pleas,neutral
421,421,yes love tea make typic english it,positive
422,422,mouth sure,positive
423,423,decid final hour histori pm went highschool make homework friend,neutral
424,424,pancak lemon sugar thank,positive
425,425,si no buena guess dont entertain him,negative
426,426,im hungri right heel kill hard walk them,negative
427,427,electron key stop work no keyhol get car much technolog,negative
428,428,may three follow good know one person big wide world like fish,positive
429,429,ami name toni not hey poor toni,negative
430,430,goodmorn,positive
431,431,took shift tomorrow dont realli feel like work right now,negative
432,432,love mine happi motheri day mon john taylor much love too,positive
433,433,saw black snake garden went back pictur gone,neutral
434,434,httptwitpiccomwukt bought lui rug dog best,positive
435,435,no waterfront anymor fascia lung clarendon do,negative
436,436,love sum much happi mother day wonder mother there,positive
437,437,slip caught fli feel like poor,negative
438,438,urg play wait week til day day til fli excit l,positive
439,439,ok passeng no one aliv theyr dead dont know til end cri,negative
440,440,discov share g reader didnt even know sigh im g reader new,neutral
441,441,chill tone cannot pew venom write funni seem like style has,neutral
442,442,u pleas pray lord know need it,neutral
443,443,aaaaaw want live us,neutral
444,444,morn templ,positive
445,445,hey didnt get ani,neutral
446,446,hour sleep rest need it,positive
447,447,make day much better rough one mention love new photo,neutral
448,448,dont want sit home night someon hang me,negative
449,449,head home foot surgeri wish boyfriend come muddl with,positive
450,450,concert tonight chain not come tomorrow,neutral
451,451,happen thought come back today,neutral
452,452,admit well next time then,negative
453,453,dont ever forget me,positive
454,454,still jealous,negative
455,455,httptwitpiccomqv forev couldnt there,negative
456,456,sad not give firsti noth bad bad,negative
457,457,week mine not easi final over,negative
458,458,beauti pictur wayi straightjust want let know bell,positive
459,459,arch draw check much degre look good me,positive
460,460,nowher peopl pencil sharp not sharpen pencil philosophi,neutral
461,461,go home im usual mr posit one date well mind tomorrow,neutral
462,462,alway lee let go pari,neutral
463,463,know want come keep compani whilst sum friend night nice even,positive
464,464,cook dad lot fun kitchen togeth,positive
465,465,bound rush make feel caseous,negative
466,466,woolsey morn hope see north moulton clinch north demon leagu titl love day it,positive
467,467,play singular without letter,negative
468,468,your miss im cereal nut think like everi kind avail,positive
469,469,that weird oh draw me,negative
470,470,woke sum sing new inr replac bought good daughter,positive
471,471,bird oh man that not cool didnt sleep yet night,negative
472,472,mile go ok radio alway help,positive
473,473,street fighter iv skill lack cant beat set easi,negative
474,474,fig cool peopl like me,positive
475,475,good morn work esp sunday night basebal hope wont get rais out,positive
476,476,think honeymoon good life either honey moon joseph arthur,neutral
477,477,son got stung bug first time littl finger slight swollen,negative
478,478,hour ago came realis went buy someth onlin,neutral
479,479,oh refer exchang regard twitter archiv post,neutral
480,480,bump pus drunk car may dont act like u dont know,negative
481,481,kiss feet peopl kick anyth want morn everyon hope best day ever,positive
482,482,here brief review httpbitlyehcfp org jame creep role im scare him,negative
483,483,im miss crab leg attend go away instead,negative
484,484,lick mean,negative
485,485,get readi take trip jersey dad not good need new heartwhoev see pleas say prayer dad,negative
486,486,back soon need run shop cut grass,neutral
487,487,im plan transform bedroom today random,neutral
488,488,home tomorrow run spin time chiropractor sundri shop visit famili miss than,negative
489,489,anoth sponsor,neutral
490,490,us go stuck offic without window,negative
491,491,no not sad make proud,negative
492,492,sorri well tri keep down,negative
493,493,home alon he,neutral
494,494,accord quarter famili six live poverti,negative
495,495,plan not spend money not go well,negative
496,496,unload bamboozl pictur facebook,neutral
497,497,congratul gun finish month earli book,positive
498,498,actual wish back miss there,negative
499,499,woke upi want stay bed,neutral
500,500,day june back seen promot day parti someon better singl sap,negative
501,501,would great lip act id enjoy see noon,neutral
502,502,mari wish could make hate commune sometim,neutral
503,503,work long day today hope make good tip,positive
504,504,went quick wasnt chanc ll,negative
505,505,rate headach mayb im not readi rock,negative
506,506,thank support,positive
507,507,there realli no andro twitter pp twentiess calibr,neutral
508,508,good day drive mountain visit kati eat chip judg stock love smell soap,positive
509,509,happi mother day mon,positive
510,510,yeah donna take pictur upon babi,neutral
511,511,traumat moment childhood dog massacr babi bundl brother got gun,negative
512,512,herewish way micros everythingl,neutral
513,513,organ til forget peopl fail preach convert peopl httptrinku,negative
514,514,libertin glad enjoy it,positive
515,515,dinner even play card alreadi pack readi head home tomorrow go home,neutral
516,516,allerg cat tonsil get swollen hurt door,negative
517,517,say feel mamma tuck night hes lone get tomorrow tough,negative
518,518,miss clot one day,negative
519,519,sound like great night im glad success,positive
520,520,thank share that,positive
521,521,say main instead hope find soon,positive
522,522,garden go well almost corn pea no onion bee yet though,positive
523,523,ah skin hes hot bore now,neutral
524,524,ah im squeaki clean fresh even though im wear dirti cloth love two half men amaz,positive
525,525,yes read mani time,neutral
526,526,cut play grown twitter,neutral
527,527,live ignor,negative
528,528,hope tell want cameo dream,neutral
529,529,www donna miss you,negative
530,530,quit like noth relax place nice coffe shop fresh air not mani oak,positive
531,531,terribl hata new fact couldnt cost part kind shock that,neutral
532,532,today love day fun even,positive
533,533,bet pizzeria banksvill rd believ beachview area sorri answer like year later,negative
534,534,sigh sister strang came way copenhagen london phone turn want see admit,negative
535,535,amaz,positive
536,536,bar tri figur del aunt connect need goos go home comput dont start work soon s,neutral
537,537,im sick sad miss martin loung tonight,negative
538,538,seem realli quiet tonightam jealous clear excit life bed think,neutral
539,539,realli wish spare cash buy new punch iii,negative
540,540,not go toronto anymor,negative
541,541,sorri hear mon realli suck,negative
542,542,feel hope smooth flight safe much amour boston,positive
543,543,cant sleepso im watch hot im afraid infomerci take over,negative
544,544,im get famili readi kayle granul donna make sad,negative
545,545,sweet dream,positive
546,546,hay aim chat,neutral
547,547,okay fool might pour summer long make happen,neutral
548,548,pain big toe got stop honey come throb anyon suggest heal it,negative
549,549,time watch op dead like sleep,neutral
550,550,dinner grand sinc couldnt sum,neutral
551,551,hata thank histori invent televis influenc america ll,positive
552,552,yea wasp,neutral
553,553,stupid job ink do,negative
554,554,stop til droppedcom back sunshin miss u,negative
555,555,like pick lucki girl again,positive
556,556,thank ive anxieti issu year think make first coupl day fine,neutral
557,557,around hour left day weekend waaaay much work do,neutral
558,558,feel love mon got union cool six birthday,positive
559,559,attempt somehow extend inner class would close closur cant find red at,neutral
560,560,yes join us requir cupcak donat,neutral
561,561,hard time talk new peopl pretti sure didnt make good impress,negative
562,562,rc hata still terribl headach super swollen puffi eye dont think go todayugh,negative
563,563,cant access site,neutral
564,564,sun shiningat last,positive
565,565,lowest train ever stop everywher miss quick train minut,negative
566,566,no either whole bunch zero one free,neutral
567,567,granul day feel like failur,neutral
568,568,op want suppos got twitter,neutral
569,569,dont think ive ever tire lifeughgoodnightso sleep tomorrow,negative
570,570,u go today girl,neutral
571,571,want anymor,negative
572,572,bad hair day,negative
573,573,headach,negative
574,574,sorri gun didnt sign sorri everi,negative
575,575,okayokay like rest sane popul world hate monday,neutral
576,576,bogart requir,neutral
577,577,think bit love creation wit not physic attract although great style,neutral
578,578,amichael hey thank anoth great day im go sleep ill chat tomorrow sweet dream,positive
579,579,bet cool hut not havent stop sweat sinc noon dad pack,negative
580,580,ohshnapsss pass clair usual ahahah yeah bake coloni,neutral
581,581,no buena hollykin need feel better sap ps miss done un soon arent soproudofyou,neutral
582,582,httptwitpiccomvvr cool mother awesom hair style wish happi mother day,positive
583,583,happi mother day mother,positive
584,584,express watch httptinyurlcomelb,neutral
585,585,stupid bipolar weather ruin day off,negative
586,586,didnt want tell think bodi odour,negative
587,587,nice beta export still no news onlin maiden,neutral
588,588,pretti bad qualiti probabl worst pick u post till date,negative
589,589,miss call,negative
590,590,unfortun us look like no funni peopl twitter move ff start ownglitt,negative
591,591,came back karaok eat dinner emili sooooo much fun,positive
592,592,discrimin not bad thing ive learn say no children would say master year ago,positive
593,593,sure talkth fabul bad bad bad bad part though sorri dear,neutral
594,594,see see clip new moon trailer onlinecom check big teas though,negative
595,595,got back work im feel pretti good work at,positive
596,596,ah sat blend didnt save,neutral
597,597,matter bet would great love right not go it,positive
598,598,finish make giant trip candi bar thank heaven work mate treat tomorrow,positive
599,599,ear pop,neutral
600,600,work diffus irrit traffic sure isnt help mother f alway real bad day th help plan stuff,negative
601,601,submit resum day saw no answer back oh well,negative
602,602,catch week lost grey hous quiet again,neutral
603,603,love roan housewif make smile,positive
604,604,soonim kind sick n tire gun dish out,negative
605,605,hope face alien stori trefoil cover beachbal photo,negative
606,606,hey phillll wazzuppppp,neutral
607,607,miss westcott micro apollo too,negative
608,608,great buy lunch get pay cut next month,positive
609,609,final gone beach yeaaaah,positive
610,610,ranjan ever mention nice awesom due are,positive
611,611,last week noth school start next week,neutral
612,612,hello gorgeous girl nice new pick today,positive
613,613,ok bad bad bad bad due hyster ll,positive
614,614,ok turn twitter devic updat get new batteri phone goe fulli charg dead hour,neutral
615,615,mitchel hot mamma chichi grand,neutral
616,616,either way alway tend make followfriday list sweet rock much,positive
617,617,no one know like boil peanut t,neutral
618,618,watch th episod number love throwback first episod use sprinkl theori,positive
619,619,im sleepi feel weather ugh bad bad bad bad tonsil need compani somebodi talk too,negative
620,620,pleas get cell phone better camera pictur real bad qualiti compar mile took,neutral
